"Date","Price","Open","High","Low","Change %"
"Sep 10, 1995","1.2613","1.2735","1.2756","1.2506","-0.62%"
"Sep 03, 1995","1.2692","1.2792","1.2827","1.2591","-0.57%"
"Aug 27, 1995","1.2765","1.2750","1.2838","1.2651","0.51%"
"Aug 20, 1995","1.2700","1.2740","1.2749","1.2575","-0.30%"
"Aug 13, 1995","1.2738","1.2990","1.3085","1.2626","-2.09%"
"Aug 06, 1995","1.3010","1.3336","1.3361","1.3010","-2.44%"
"Jul 30, 1995","1.3336","1.3439","1.3525","1.3260","-0.82%"
"Jul 23, 1995","1.3446","1.3340","1.3500","1.3293","0.62%"
"Jul 16, 1995","1.3363","1.3287","1.3465","1.3245","0.44%"
"Jul 09, 1995","1.3305","1.3286","1.3347","1.3127","0.14%"
"Jul 02, 1995","1.3286","1.3321","1.3382","1.3217","-0.26%"
"Jun 25, 1995","1.3321","1.3315","1.3359","1.3133","0.05%"
"Jun 18, 1995","1.3315","1.3196","1.3360","1.3150","0.90%"
"Jun 11, 1995","1.3196","1.3152","1.3245","1.3089","0.41%"
"Jun 04, 1995","1.3142","1.3020","1.3203","1.3012","0.92%"
"May 28, 1995","1.3022","1.3354","1.3354","1.2913","-2.57%"
"May 21, 1995","1.3365","1.2805","1.3375","1.2722","4.37%"
"May 14, 1995","1.2805","1.2775","1.2950","1.2655","-0.05%"
"May 07, 1995","1.2811","1.3324","1.3445","1.2739","-3.75%"
"Apr 30, 1995","1.3310","1.3208","1.3390","1.3165","0.45%"
"Apr 23, 1995","1.3251","1.3402","1.3455","1.3170","-0.46%"
"Apr 16, 1995","1.3312","1.3248","1.3530","1.3165","0.38%"
"Apr 09, 1995","1.3262","1.3369","1.3373","1.3026","-0.67%"
"Apr 02, 1995","1.3352","1.3275","1.3394","1.3157","0.25%"
"Mar 26, 1995","1.3319","1.2907","1.3355","1.2905","3.19%"
"Mar 19, 1995","1.2907","1.3026","1.3060","1.2849","-0.91%"
"Mar 12, 1995","1.3026","1.2915","1.3210","1.2913","0.84%"
"Mar 05, 1995","1.2917","1.3008","1.3358","1.2893","-0.68%"
"Feb 26, 1995","1.3005","1.2750","1.3020","1.2650","2.09%"
"Feb 19, 1995","1.2739","1.2675","1.2790","1.2640","0.49%"
"Feb 12, 1995","1.2677","1.2425","1.2720","1.2391","2.09%"
"Feb 05, 1995","1.2417","1.2334","1.2425","1.2280","0.58%"
