"Date","Price","Open","High","Low","Change %"
"Jul 21, 1996","8.3114","8.3114","8.3114","8.3114","-0.05%"
"Jul 14, 1996","8.3152","8.3152","8.3152","8.3152","-0.01%"
"Jul 07, 1996","8.3159","8.3159","8.3159","8.3159","-0.05%"
"Jun 30, 1996","8.3200","8.3200","8.3200","8.3200","-0.03%"
"Jun 23, 1996","8.3221","8.3221","8.3221","8.3221","0.02%"
"Jun 16, 1996","8.3203","8.3203","8.3203","8.3203","-0.02%"
"Jun 09, 1996","8.3217","8.3217","8.3217","8.3217","-0.02%"
"Jun 02, 1996","8.3237","8.3237","8.3237","8.3237","-0.02%"
"May 26, 1996","8.3255","8.3255","8.3255","8.3255","-0.01%"
"May 19, 1996","8.3267","8.3267","8.3267","8.3267","-0.03%"
"May 12, 1996","8.3293","8.3293","8.3293","8.3293","-0.01%"
"May 05, 1996","8.3302","8.3302","8.3302","8.3302","0.00%"
"Apr 28, 1996","8.3300","8.3300","8.3300","8.3300","0.00%"
"Apr 21, 1996","8.3300","8.3300","8.3300","8.3300","-0.01%"
"Apr 14, 1996","8.3306","8.3306","8.3306","8.3306","-0.02%"
"Apr 07, 1996","8.3322","8.3322","8.3322","8.3322","0.01%"
"Mar 31, 1996","8.3311","8.3311","8.3311","8.3311","-0.03%"
"Mar 24, 1996","8.3338","8.3338","8.3338","8.3338","0.01%"
"Mar 17, 1996","8.3333","8.3333","8.3333","8.3333","0.02%"
"Mar 10, 1996","8.3317","8.3317","8.3317","8.3317","0.09%"
"Mar 03, 1996","8.3239","8.3239","8.3239","8.3239","0.03%"
"Feb 25, 1996","8.3211","8.3211","8.3211","8.3211","0.07%"
"Feb 18, 1996","8.3152","8.3152","8.3152","8.3152","0.02%"
"Feb 11, 1996","8.3136","8.3136","8.3136","8.3136","0.05%"
"Feb 04, 1996","8.3094","8.3094","8.3094","8.3094","-0.04%"
"Jan 28, 1996","8.3127","8.3127","8.3127","8.3127","-0.04%"
"Jan 21, 1996","8.3157","8.3157","8.3157","8.3157","-0.03%"
"Jan 14, 1996","8.3178","8.3178","8.3178","8.3178","-0.03%"
"Jan 07, 1996","8.3204","8.3204","8.3204","8.3204","0.00%"
"Dec 31, 1995","8.3204","8.3204","8.3204","8.3204","0.04%"
