"Date","Price","Open","High","Low","Change %"
"Apr 07, 1996","34.150","34.000","34.450","34.000","0.07%"
"Mar 31, 1996","34.125","34.075","34.325","33.775","0.07%"
"Mar 24, 1996","34.100","34.500","34.950","34.000","-1.45%"
"Mar 17, 1996","34.600","34.150","35.900","34.100","1.02%"
"Mar 10, 1996","34.250","34.230","34.800","34.100","0.35%"
"Mar 03, 1996","34.130","34.420","34.640","33.720","-0.78%"
"Feb 25, 1996","34.400","36.400","36.550","34.400","-5.12%"
"Feb 18, 1996","36.255","36.585","36.765","36.255","-0.67%"
"Feb 11, 1996","36.500","36.800","37.060","36.430","-1.08%"
"Feb 04, 1996","36.900","36.770","38.400","36.750","0.41%"
"Jan 28, 1996","36.750","36.000","36.825","35.920","2.17%"
"Jan 21, 1996","35.970","36.000","36.200","35.810","0.21%"
"Jan 14, 1996","35.895","35.780","35.937","35.780","0.39%"
"Jan 07, 1996","35.755","35.375","35.910","35.375","0.95%"
"Dec 31, 1995","35.420","35.200","35.430","35.170","0.73%"
"Dec 24, 1995","35.165","34.955","35.205","34.945","0.54%"
"Dec 17, 1995","34.977","34.877","35.008","34.877","0.06%"
"Dec 10, 1995","34.955","34.835","34.985","34.765","0.14%"
"Dec 03, 1995","34.905","34.875","34.975","34.815","0.00%"
"Nov 26, 1995","34.905","34.725","35.018","34.725","0.14%"
"Nov 19, 1995","34.855","34.675","34.925","34.575","0.48%"
"Nov 12, 1995","34.690","34.280","34.930","34.220","0.48%"
"Nov 05, 1995","34.525","34.185","34.865","33.985","-0.36%"
"Oct 29, 1995","34.650","35.360","35.360","33.950","-2.26%"
"Oct 22, 1995","35.450","35.650","35.850","35.200","-0.35%"
"Oct 15, 1995","35.575","34.205","35.775","34.025","3.87%"
"Oct 08, 1995","34.250","33.900","34.350","33.880","1.03%"
"Oct 01, 1995","33.900","33.760","33.990","33.740","-0.07%"
"Sep 24, 1995","33.925","33.725","34.115","33.715","0.38%"
"Sep 17, 1995","33.795","33.725","34.095","33.555","0.13%"
"Sep 10, 1995","33.750","32.300","35.150","32.300","4.67%"
"Sep 03, 1995","32.245","31.845","32.525","31.845","1.05%"
"Aug 27, 1995","31.910","31.615","32.065","31.615","0.65%"
"Aug 20, 1995","31.705","31.520","31.885","31.520","0.38%"
"Aug 13, 1995","31.585","31.375","31.645","31.375","0.42%"
"Aug 06, 1995","31.452","31.412","31.575","31.375","0.11%"
"Jul 30, 1995","31.419","31.394","31.425","31.354","0.09%"
"Jul 23, 1995","31.390","31.375","31.407","31.365","0.06%"
"Jul 16, 1995","31.370","31.367","31.377","31.362","0.01%"
"Jul 09, 1995","31.367","31.383","31.383","31.364","-0.05%"
"Jul 02, 1995","31.382","31.405","31.405","31.355","-0.06%"
"Jun 25, 1995","31.400","31.377","31.445","31.365","0.08%"
"Jun 18, 1995","31.375","31.375","31.430","31.375","0.02%"
"Jun 11, 1995","31.370","31.395","31.440","31.320","-0.14%"
"Jun 04, 1995","31.415","31.380","31.435","31.335","-0.02%"
"May 28, 1995","31.420","31.395","31.462","31.388","0.09%"
"May 21, 1995","31.392","31.375","31.430","31.325","-0.05%"
"May 14, 1995","31.409","31.383","31.465","31.373","-0.07%"
"May 07, 1995","31.430","31.390","31.460","31.380","0.05%"
"Apr 30, 1995","31.415","31.435","31.437","31.375","-0.06%"
"Apr 23, 1995","31.433","31.433","31.457","31.380","0.04%"
"Apr 16, 1995","31.420","31.355","31.457","31.355","0.21%"
"Apr 09, 1995","31.355","31.405","31.412","31.305","-0.16%"
"Apr 02, 1995","31.405","31.425","31.485","31.355","-0.03%"
"Mar 26, 1995","31.415","31.525","31.662","31.395","-0.60%"
"Mar 19, 1995","31.605","31.435","31.695","31.415","0.48%"
"Mar 12, 1995","31.453","31.833","32.053","31.422","-0.95%"
"Mar 05, 1995","31.755","31.675","32.045","31.625","0.24%"
"Feb 26, 1995","31.680","31.420","32.150","31.420","0.92%"
"Feb 19, 1995","31.390","31.377","31.460","31.375","0.07%"
"Feb 12, 1995","31.367","31.373","31.380","31.363","-0.02%"
"Feb 05, 1995","31.374","31.371","31.384","31.364","-0.01%"
"Jan 29, 1995","31.377","31.377","31.390","31.370","0.00%"
"Jan 22, 1995","31.376","31.371","31.389","31.371","0.02%"
"Jan 15, 1995","31.370","31.367","31.380","31.358","0.02%"
"Jan 08, 1995","31.363","31.372","31.377","31.363","-0.01%"
"Jan 01, 1995","31.367","31.373","31.375","31.365","-0.01%"
"Dec 25, 1994","31.369","31.394","31.434","31.369","-0.07%"
"Dec 18, 1994","31.390","31.373","31.428","31.370","0.05%"
"Dec 11, 1994","31.373","31.373","31.375","31.367","0.01%"
"Dec 04, 1994","31.370","31.377","31.395","31.367","-0.05%"
"Nov 27, 1994","31.385","31.373","31.428","31.370","0.03%"
"Nov 20, 1994","31.375","31.370","31.375","31.365","0.02%"
"Nov 13, 1994","31.369","31.409","31.409","31.369","-0.13%"
"Nov 06, 1994","31.409","31.384","31.441","31.384","0.01%"
"Oct 30, 1994","31.405","31.375","31.420","31.373","0.11%"
"Oct 23, 1994","31.370","31.370","31.407","31.367","0.00%"
"Oct 16, 1994","31.369","31.369","31.374","31.364","-0.01%"
"Oct 09, 1994","31.373","31.373","31.375","31.370","0.01%"
